id,label,weight
1343,weitergehend,1
1341,ursach,1
1335,emotionsgruppen,1
1339,textmaterial,1
1338,suchen,2
1348,Thesenpapier,1
1351,betonen,2
1356,erzielen,1
1345,Material,2
1360,sinn,1
1357,handeln,3
1346,Schatz,2
1344,Kunstler,1
1358,netzwerken,3
1349,Verhaltnis,2
1361,thesen,1
1359,prasentieren,4
1362,weiterfuhrend,1
1350,aufzeigen,4
1355,erganzung,1
1347,These,2
1354,enthalten,1
1352,bewusst,1
1353,darstellen,2
1387,fundieren,1
1367,Gestik,2
1364,Ausdruck,1
1399,nonverbal,1
1368,Kommunikation,1
1372,Relevanz,2
1380,bildend,2
1369,Kunst,5
1405,vereinzelt,1
1381,desiderat,1
1379,begegnen,2
1396,konzentri,1
1401,quantitativ,3
1388,fundiert,1
1389,fußen,1
1370,Module,1
1390,gelenkpunkt,1
1397,menschlich,2
1382,detektieren,1
1394,human,2
1400,pos,2
1366,Estimation,1
1392,hpe,2
1384,effizient,1
1391,handhabbar,1
1363,Abstraktion,1
1375,Skelett,1
1386,figural,1
1385,erzeugen,2
1371,Punkt,1
1374,Semantisch,1
1377,Uberfuhrt,1
1398,nah,1
1406,zueinand,1
1376,Support,1
1403,typisieren,1
1373,Retrieval,1
1393,hpr,2
1402,rein,1
1395,individual,1
1378,aggregateben,1
1365,Durchgefuhrt,1
1383,deutlich,2
1404,uberwachten,1
1410,Pfeiler,1
1416,quasi,1
1407,Anlaufstelle,1
1415,kollaboration,1
1414,fehlermeldung,1
1409,Mitarbeit,1
1408,Meldung,1
1413,erfolgt,1
1412,Ruckmeldunge,1
1417,redaktion,1
1411,Prasentiert,1
1440,philosophisch,3
1424,Fragmentarisch,1
1439,organisiert,1
1423,Erfahrt,1
1438,neuartig,2
1436,genuin,1
1420,Chance,3
1444,worterbuch,1
1437,lemmatalist,1
1431,Wikis,1
1432,abbilden,1
1443,visualisiern,1
1429,Rezipiert,1
1442,semantisch,3
